Initial Date,Date of Completion,Days Taken,Days Grouped,Request,Client Name,Attorney Name,Practice Group,Outstanding Items,Status
5/12/2026,5/15/2026,3,0-30 Days,349318,Client 204,Attorney 12,IP - Life Sciences,Provisional Client,In-Progress
5/11/2026,5/15/2026,4,0-30 Days,422581,Client 438,Attorney 85,Employee Benefits,Provisional Client,In-Progress
5/13/2026,5/15/2026,2,0-30 Days,927209,Client 145,Attorney 19,IP - Disputes,Conflict Clearance,In-Progress
4/24/2026,5/15/2026,21,0-30 Days,708503,Client 410,Attorney 2,IP - Trademark,Signed Letter Due to Conflict,In-Progress
4/17/2026,5/15/2026,28,0-30 Days,668778,Client 6,Attorney 49,Employee Benefits,System Flag,In-Progress
5/1/2026,5/15/2026,14,0-30 Days,393633,Client 295,Attorney 53,Employee Benefits,System Flag,In-Progress
5/5/2026,5/15/2026,10,0-30 Days,829965,Client 42,Attorney 5,IP - Trademark,Provisional Client,In-Progress
5/8/2026,5/15/2026,7,0-30 Days,623086,Client 412,Attorney 51,IP - Life Sciences,Conflict Clearance,In-Progress
4/12/2026,5/15/2026,33,31-60 Days,413956,Client 82,Attorney 52,Employee Benefits,Conflict Clearance,In-Progress
5/12/2026,5/15/2026,3,0-30 Days,791728,Client 378,Attorney 1,Employee Benefits,Conflict Clearance,In-Progress
4/21/2026,5/15/2026,24,0-30 Days,761424,Client 360,Attorney 21,IP - Life Sciences,System Flag,In-Progress
4/12/2026,5/15/2026,33,31-60 Days,861474,Client 497,Attorney 67,IP - Disputes,Quality Control,In-Progress
5/9/2026,5/15/2026,6,0-30 Days,898160,Client 447,Attorney 99,IP - Life Sciences,Attorney Question,In-Progress
4/17/2026,5/15/2026,28,0-30 Days,846476,Client 365,Attorney 20,IP - Trademark,Signed Letter Due to Conflict,In-Progress
4/23/2026,5/15/2026,22,0-30 Days,117066,Client 16,Attorney 12,Employee Benefits,Attorney Question,In-Progress
5/12/2026,5/15/2026,3,0-30 Days,432034,Client 454,Attorney 55,IP - Life Sciences,System Flag,In-Progress
3/29/2026,5/15/2026,47,31-60 Days,485898,Client 43,Attorney 9,IP - Life Sciences,Conflict Clearance,In-Progress
4/4/2026,5/15/2026,41,31-60 Days,384064,Client 35,Attorney 40,Employee Benefits,Conflict Clearance,In-Progress
3/7/2026,5/15/2026,69,61-90 Days,382167,Client 16,Attorney 23,IP - Life Sciences,Conflict Clearance,In-Progress
4/21/2026,5/15/2026,24,0-30 Days,902826,Client 18,Attorney 53,IP - Life Sciences,Quality Control,In-Progress
3/8/2026,5/15/2026,68,61-90 Days,679955,Client 381,Attorney 87,IP - Life Sciences,System Flag,In-Progress
3/13/2026,5/15/2026,63,61-90 Days,253130,Client 290,Attorney 33,IP - Life Sciences,Quality Control,In-Progress
3/6/2026,5/15/2026,70,61-90 Days,961322,Client 70,Attorney 93,Employee Benefits,Provisional Client,In-Progress
3/10/2026,5/15/2026,66,61-90 Days,841274,Client 316,Attorney 26,IP - Disputes,Signed Letter Due to Conflict,In-Progress
4/28/2026,5/15/2026,17,0-30 Days,400459,Client 132,Attorney 46,Employee Benefits,System Flag,In-Progress
5/1/2026,5/15/2026,14,0-30 Days,645444,Client 228,Attorney 30,IP - Trademark,Attorney Question,Complete
5/4/2026,5/14/2026,10,0-30 Days,950289,Client 8,Attorney 44,Employee Benefits,System Flag,Complete
4/8/2026,5/11/2026,33,31-60 Days,561523,Client 347,Attorney 54,IP - Disputes,Provisional Client,Complete
4/6/2026,5/4/2026,28,0-30 Days,460974,Client 206,Attorney 87,IP - Trademark,Signed Letter Due to Conflict,Complete
3/11/2026,5/4/2026,54,31-60 Days,461263,Client 270,Attorney 64,IP - Life Sciences,Provisional Client,Complete
3/5/2026,5/2/2026,58,31-60 Days,577965,Client 26,Attorney 80,Employee Benefits,Provisional Client,Complete
4/25/2026,5/1/2026,6,0-30 Days,587117,Client 356,Attorney 71,IP - Disputes,System Flag,Complete
4/1/2026,5/1/2026,30,0-30 Days,903777,Client 13,Attorney 95,IP - Trademark,N/A,Complete
4/9/2026,4/28/2026,19,0-30 Days,509771,Client 104,Attorney 2,IP - Trademark,Draft Letter,Complete
3/4/2026,4/28/2026,55,31-60 Days,721345,Client 129,Attorney 42,IP - Disputes,System Flag,Complete
2/26/2026,4/26/2026,59,31-60 Days,164056,Client 167,Attorney 71,IP - Disputes,Draft Letter,Complete
2/10/2026,4/24/2026,73,61-90 Days,497919,Client 34,Attorney 41,IP - Trademark,Signed Letter Due to Conflict,Complete
2/22/2026,4/24/2026,61,61-90 Days,640036,Client 185,Attorney 71,IP - Disputes,Attorney Question,Complete
2/19/2026,4/21/2026,61,61-90 Days,181005,Client 139,Attorney 57,Employee Benefits,Conflict Clearance,Complete
4/12/2026,4/17/2026,5,0-30 Days,204535,Client 389,Attorney 66,IP - Disputes,Quality Control,Complete
2/28/2026,4/15/2026,46,31-60 Days,343187,Client 182,Attorney 80,IP - Disputes,System Flag,Complete
2/27/2026,4/13/2026,45,31-60 Days,454409,Client 183,Attorney 30,Employee Benefits,System Flag,Complete
3/31/2026,4/12/2026,12,0-30 Days,274014,Client 481,Attorney 64,Employee Benefits,System Flag,Complete
1/17/2026,4/8/2026,81,61-90 Days,463746,Client 471,Attorney 18,IP - Life Sciences,Provisional Client,Complete
3/14/2026,4/8/2026,25,0-30 Days,905510,Client 403,Attorney 63,IP - Life Sciences,Draft Letter,Complete
3/24/2026,4/6/2026,13,0-30 Days,487941,Client 297,Attorney 20,Employee Benefits,N/A,Complete
3/26/2026,4/5/2026,10,0-30 Days,774394,Client 287,Attorney 67,Employee Benefits,Conflict Clearance,Complete
3/27/2026,4/4/2026,8,0-30 Days,427535,Client 219,Attorney 78,IP - Life Sciences,Quality Control,Complete
3/14/2026,3/27/2026,13,0-30 Days,499225,Client 171,Attorney 11,IP - Disputes,Draft Letter,Complete
2/14/2026,3/27/2026,41,31-60 Days,909430,Client 204,Attorney 32,Employee Benefits,Signed Letter Due to Conflict,Complete
2/10/2026,3/27/2026,45,31-60 Days,536631,Client 455,Attorney 90,Employee Benefits,Signed Letter Due to Conflict,Complete
2/7/2026,3/25/2026,46,31-60 Days,851101,Client 342,Attorney 88,Employee Benefits,System Flag,Complete
12/24/2025,3/24/2026,90,61-90 Days,883772,Client 201,Attorney 98,IP - Disputes,Provisional Client,Complete
2/26/2026,3/22/2026,24,0-30 Days,154533,Client 283,Attorney 55,IP - Trademark,System Flag,Complete
3/10/2026,3/18/2026,8,0-30 Days,528403,Client 30,Attorney 79,IP - Life Sciences,Draft Letter,Complete
1/30/2026,3/14/2026,43,31-60 Days,846608,Client 242,Attorney 20,IP - Trademark,System Flag,Complete
2/21/2026,3/11/2026,18,0-30 Days,369818,Client 486,Attorney 59,IP - Trademark,Draft Letter,Complete
2/19/2026,3/7/2026,16,0-30 Days,384542,Client 95,Attorney 71,IP - Trademark,Draft Letter,Complete
1/31/2026,3/6/2026,34,31-60 Days,720167,Client 42,Attorney 27,IP - Life Sciences,Conflict Clearance,Complete
1/7/2026,3/5/2026,57,31-60 Days,762105,Client 265,Attorney 77,Employee Benefits,Draft Letter,Complete
1/21/2026,3/5/2026,43,31-60 Days,932807,Client 167,Attorney 3,IP - Disputes,Draft Letter,Complete
2/6/2026,3/3/2026,25,0-30 Days,856677,Client 325,Attorney 68,IP - Trademark,N/A,Complete
2/25/2026,3/2/2026,5,0-30 Days,321851,Client 403,Attorney 4,IP - Disputes,Provisional Client,Complete
2/21/2026,3/2/2026,9,0-30 Days,884153,Client 436,Attorney 69,IP - Life Sciences,Draft Letter,Complete
1/28/2026,2/28/2026,31,31-60 Days,825277,Client 290,Attorney 59,IP - Life Sciences,Quality Control,Complete
1/15/2026,2/27/2026,43,31-60 Days,644102,Client 37,Attorney 4,IP - Disputes,Attorney Question,Complete
12/17/2025,2/27/2026,72,61-90 Days,882512,Client 282,Attorney 45,IP - Trademark,Signed Letter Due to Conflict,Complete
12/13/2025,2/25/2026,74,61-90 Days,951970,Client 112,Attorney 53,IP - Disputes,Quality Control,Complete
2/12/2026,2/22/2026,10,0-30 Days,443285,Client 365,Attorney 55,IP - Trademark,Attorney Question,Complete
12/3/2025,2/19/2026,78,61-90 Days,207217,Client 65,Attorney 12,Employee Benefits,Attorney Question,Complete
2/2/2026,2/18/2026,16,0-30 Days,640741,Client 176,Attorney 57,Employee Benefits,Provisional Client,Complete
12/16/2025,2/16/2026,62,61-90 Days,749867,Client 448,Attorney 42,IP - Disputes,N/A,Complete
1/23/2026,2/14/2026,22,0-30 Days,797816,Client 138,Attorney 80,Employee Benefits,Conflict Clearance,Complete
1/25/2026,2/14/2026,20,0-30 Days,599958,Client 105,Attorney 41,IP - Life Sciences,Quality Control,Complete
12/28/2025,2/14/2026,48,31-60 Days,190729,Client 189,Attorney 74,Employee Benefits,Conflict Clearance,Complete
11/14/2025,2/11/2026,89,61-90 Days,722653,Client 202,Attorney 25,IP - Life Sciences,Signed Letter Due to Conflict,Complete
1/1/2026,2/6/2026,36,31-60 Days,540163,Client 54,Attorney 85,Employee Benefits,N/A,Complete
1/25/2026,2/6/2026,12,0-30 Days,433587,Client 394,Attorney 68,IP - Disputes,Signed Letter Due to Conflict,Complete
1/21/2026,2/5/2026,15,0-30 Days,955120,Client 402,Attorney 3,IP - Trademark,Quality Control,Complete
1/14/2026,2/5/2026,22,0-30 Days,298461,Client 6,Attorney 99,IP - Trademark,Attorney Question,Complete
11/16/2025,2/1/2026,77,61-90 Days,410287,Client 25,Attorney 71,IP - Trademark,Draft Letter,Complete
